;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;4;Almería;04001;Abla;31;<5;8;0;5;13;<5;7;0;<5;23
202401;Enero de 2024;1;Andalucía;4;Almería;04002;Abrucena;49;13;26;0;0;9;<5;35;0;<5;11
202401;Enero de 2024;1;Andalucía;4;Almería;04003;Adra;461;178;75;15;118;72;<5;166;31;34;230
202401;Enero de 2024;1;Andalucía;4;Almería;04004;Albánchez;9;<5;<5;0;0;<5;<5;<5;<5;0;6
202401;Enero de 2024;1;Andalucía;4;Almería;04005;Alboloduy;17;0;8;0;0;9;0;5;0;0;12
202401;Enero de 2024;1;Andalucía;4;Almería;04006;Albox;136;46;26;<5;19;41;<5;10;38;13;75
202401;Enero de 2024;1;Andalucía;4;Almería;04007;Alcolea;24;8;<5;0;5;7;0;<5;<5;6;14
202401;Enero de 2024;1;Andalucía;4;Almería;04008;Alcóntar;8;<5;<5;0;<5;<5;0;0;<5;0;5
202401;Enero de 2024;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;8;<5;5;0;<5;<5;0;<5;0;0;7
202401;Enero de 2024;1;Andalucía;4;Almería;04010;Alhabia;14;8;<5;0;<5;<5;0;0;6;5;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04011;Alhama de Almería;70;31;9;0;11;17;<5;26;5;12;27
202401;Enero de 2024;1;Andalucía;4;Almería;04012;Alicún;<5;0;0;0;0;<5;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04013;Almería;4801;1261;1089;94;904;1360;93;626;152;299;3724
202401;Enero de 2024;1;Andalucía;4;Almería;04014;Almócita;9;0;5;0;<5;<5;0;<5;0;0;6
202401;Enero de 2024;1;Andalucía;4;Almería;04015;Alsodux;0;0;0;0;0;0;0;0;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04016;Antas;350;195;88;13;29;19;6;104;22;25;199
202401;Enero de 2024;1;Andalucía;4;Almería;04017;Arboleas;79;34;24;<5;5;14;<5;11;0;<5;67
202401;Enero de 2024;1;Andalucía;4;Almería;04018;Armuña de Almanzora;6;<5;<5;0;0;<5;0;6;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04019;Bacares;7;0;<5;0;<5;<5;0;<5;0;0;5
202401;Enero de 2024;1;Andalucía;4;Almería;04020;Bayárcal;8;0;<5;0;0;5;0;<5;0;0;5
202401;Enero de 2024;1;Andalucía;4;Almería;04021;Bayarque;6;<5;<5;0;0;<5;0;<5;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04022;Bédar;<5;0;<5;0;0;0;0;0;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04023;Beires;6;0;5;0;0;<5;0;0;0;0;6
202401;Enero de 2024;1;Andalucía;4;Almería;04024;Benahadux;170;18;43;<5;10;98;0;8;123;5;34
202401;Enero de 2024;1;Andalucía;4;Almería;04026;Benitagla;<5;0;<5;0;0;<5;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04027;Benizalón;7;<5;<5;0;<5;<5;0;<5;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04028;Bentarique;5;<5;<5;0;0;<5;0;<5;0;<5;0
202401;Enero de 2024;1;Andalucía;4;Almería;04029;Berja;126;44;22;<5;36;19;<5;58;6;5;57
202401;Enero de 2024;1;Andalucía;4;Almería;04030;Canjáyar;31;10;11;0;<5;9;0;9;<5;<5;17
202401;Enero de 2024;1;Andalucía;4;Almería;04031;Cantoria;115;76;8;<5;16;13;0;6;27;<5;78
202401;Enero de 2024;1;Andalucía;4;Almería;04032;Carboneras;132;26;66;13;15;10;<5;26;27;14;65
202401;Enero de 2024;1;Andalucía;4;Almería;04033;Castro de Filabres;<5;0;0;0;0;<5;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04034;Cóbdar;<5;<5;<5;0;0;<5;0;<5;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;471;231;127;6;49;55;<5;215;8;18;230
202401;Enero de 2024;1;Andalucía;4;Almería;04036;Chercos;<5;0;0;0;0;<5;0;0;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04037;Chirivel;28;<5;<5;<5;7;13;<5;9;0;0;19
202401;Enero de 2024;1;Andalucía;4;Almería;04038;Dalías;40;11;5;<5;11;10;<5;16;<5;<5;20
202401;Enero de 2024;1;Andalucía;4;Almería;04041;Enix;0;0;0;0;0;0;0;0;0;0;0
