,Codi_Districte,Nom_Districte,rank,Nom_Barri,AEB,_full_count,Seccio_Censal,Valor,Codi_Barri,_id,Any
0,2,Eixample,0.0573088,la Sagrada Família,26,173,2043,56,6,97,2024
1,2,Eixample,0.0573088,el Fort Pienc,20,173,2002,508,5,56,2024
2,2,Eixample,0.0573088,el Fort Pienc,20,173,2003,34,5,57,2024
3,2,Eixample,0.0573088,el Fort Pienc,20,173,2004,62,5,58,2024
4,2,Eixample,0.0573088,el Fort Pienc,20,173,2005,96,5,59,2024
5,2,Eixample,0.0573088,el Fort Pienc,20,173,2006,60,5,60,2024
6,2,Eixample,0.0573088,el Fort Pienc,20,173,2007,43,5,61,2024
7,2,Eixample,0.0573088,el Fort Pienc,20,173,2008,66,5,62,2024
8,2,Eixample,0.0573088,el Fort Pienc,20,173,2009,72,5,63,2024
9,2,Eixample,0.0573088,el Fort Pienc,21,173,2010,58,5,64,2024
10,2,Eixample,0.0573088,el Fort Pienc,21,173,2011,50,5,65,2024
11,2,Eixample,0.0573088,el Fort Pienc,21,173,2012,86,5,66,2024
12,2,Eixample,0.0573088,el Fort Pienc,21,173,2013,51,5,67,2024
13,2,Eixample,0.0573088,el Fort Pienc,22,173,2014,71,5,68,2024
14,2,Eixample,0.0573088,el Fort Pienc,22,173,2015,65,5,69,2024
15,2,Eixample,0.0573088,el Fort Pienc,22,173,2016,76,5,70,2024
16,2,Eixample,0.0573088,el Fort Pienc,22,173,2017,83,5,71,2024
17,2,Eixample,0.0573088,el Fort Pienc,22,173,2018,66,5,72,2024
18,2,Eixample,0.0573088,el Fort Pienc,22,173,2019,86,5,73,2024
19,2,Eixample,0.0573088,el Fort Pienc,22,173,2020,76,5,74,2024
20,2,Eixample,0.0573088,la Sagrada Família,23,173,2021,65,6,75,2024
21,2,Eixample,0.0573088,la Sagrada Família,23,173,2022,49,6,76,2024
22,2,Eixample,0.0573088,la Sagrada Família,23,173,2023,32,6,77,2024
23,2,Eixample,0.0573088,la Sagrada Família,23,173,2024,63,6,78,2024
24,2,Eixample,0.0573088,la Sagrada Família,24,173,2025,47,6,79,2024
25,2,Eixample,0.0573088,la Sagrada Família,24,173,2026,98,6,80,2024
26,2,Eixample,0.0573088,la Sagrada Família,24,173,2027,82,6,81,2024
27,2,Eixample,0.0573088,la Sagrada Família,24,173,2028,92,6,82,2024
28,2,Eixample,0.0573088,la Sagrada Família,24,173,2029,51,6,83,2024
29,2,Eixample,0.0573088,la Sagrada Família,24,173,2030,61,6,84,2024
30,2,Eixample,0.0573088,la Sagrada Família,24,173,2031,26,6,85,2024
31,2,Eixample,0.0573088,la Sagrada Família,24,173,2032,48,6,86,2024
32,2,Eixample,0.0573088,la Sagrada Família,25,173,2033,54,6,87,2024
33,2,Eixample,0.0573088,la Sagrada Família,25,173,2034,65,6,88,2024
34,2,Eixample,0.0573088,la Sagrada Família,25,173,2035,74,6,89,2024
35,2,Eixample,0.0573088,la Sagrada Família,25,173,2036,37,6,90,2024
36,2,Eixample,0.0573088,la Sagrada Família,25,173,2037,39,6,91,2024
37,2,Eixample,0.0573088,la Sagrada Família,25,173,2038,42,6,92,2024
38,2,Eixample,0.0573088,la Sagrada Família,25,173,2039,90,6,93,2024
39,2,Eixample,0.0573088,la Sagrada Família,25,173,2040,79,6,94,2024
40,2,Eixample,0.0573088,la Sagrada Família,26,173,2041,58,6,95,2024
41,2,Eixample,0.0573088,la Sagrada Família,26,173,2042,76,6,96,2024
42,2,Eixample,0.0573088,el Fort Pienc,20,173,2001,48,5,55,2024
43,2,Eixample,0.0573088,la Sagrada Família,26,173,2044,72,6,98,2024
44,2,Eixample,0.0573088,la Sagrada Família,26,173,2045,39,6,99,2024
45,2,Eixample,0.0573088,la Sagrada Família,26,173,2046,82,6,100,2024
46,2,Eixample,0.0573088,la Sagrada Família,26,173,2047,95,6,101,2024
47,2,Eixample,0.0573088,la Sagrada Família,26,173,2048,85,6,102,2024
48,2,Eixample,0.0573088,la Sagrada Família,27,173,2049,75,6,103,2024
49,2,Eixample,0.0573088,la Sagrada Família,27,173,2050,84,6,104,2024
50,2,Eixample,0.0573088,la Sagrada Família,27,173,2051,70,6,105,2024
51,2,Eixample,0.0573088,la Sagrada Família,27,173,2052,78,6,106,2024
52,2,Eixample,0.0573088,la Sagrada Família,27,173,2053,94,6,107,2024
53,2,Eixample,0.0573088,la Sagrada Família,27,173,2054,80,6,108,2024
54,2,Eixample,0.0573088,Sant Antoni,51,173,2150,70,10,204,2024
55,2,Eixample,0.0573088,Sant Antoni,51,173,2151,54,10,205,2024
56,2,Eixample,0.0573088,Sant Antoni,51,173,2152,56,10,206,2024
57,2,Eixample,0.0573088,Sant Antoni,51,173,2153,51,10,207,2024
58,2,Eixample,0.0573088,Sant Antoni,51,173,2154,45,10,208,2024
59,2,Eixample,0.0573088,Sant Antoni,51,173,2155,52,10,209,2024
60,2,Eixample,0.0573088,Sant Antoni,51,173,2156,44,10,210,2024
61,2,Eixample,0.0573088,Sant Antoni,51,173,2157,51,10,211,2024
62,2,Eixample,0.0573088,Sant Antoni,52,173,2158,66,10,212,2024
63,2,Eixample,0.0573088,Sant Antoni,52,173,2159,83,10,213,2024
64,2,Eixample,0.0573088,Sant Antoni,52,173,2160,57,10,214,2024
65,2,Eixample,0.0573088,Sant Antoni,52,173,2161,53,10,215,2024
66,2,Eixample,0.0573088,Sant Antoni,52,173,2162,47,10,216,2024
67,2,Eixample,0.0573088,Sant Antoni,53,173,2163,102,10,217,2024
68,2,Eixample,0.0573088,Sant Antoni,53,173,2164,74,10,218,2024
69,2,Eixample,0.0573088,Sant Antoni,53,173,2165,73,10,219,2024
70,2,Eixample,0.0573088,Sant Antoni,54,173,2166,99,10,220,2024
71,2,Eixample,0.0573088,Sant Antoni,54,173,2167,79,10,221,2024
72,2,Eixample,0.0573088,Sant Antoni,54,173,2168,91,10,222,2024
73,2,Eixample,0.0573088,Sant Antoni,55,173,2169,70,10,223,2024
74,2,Eixample,0.0573088,Sant Antoni,55,173,2170,50,10,224,2024
75,2,Eixample,0.0573088,Sant Antoni,55,173,2171,67,10,225,2024
76,2,Eixample,0.0573088,Sant Antoni,55,173,2172,51,10,226,2024
77,2,Eixample,0.0573088,Sant Antoni,55,173,2173,60,10,227,2024
78,2,Eixample,0.0706241,la Dreta de l'Eixample,34,173,2079,68,7,133,2024
79,2,Eixample,0.0706241,la Dreta de l'Eixample,35,173,2080,44,7,134,2024
80,2,Eixample,0.0706241,la Dreta de l'Eixample,35,173,2081,90,7,135,2024
81,2,Eixample,0.0706241,la Dreta de l'Eixample,36,173,2082,35,7,136,2024
82,2,Eixample,0.0706241,la Dreta de l'Eixample,36,173,2083,92,7,137,2024
83,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,37,173,2084,90,8,138,2024
84,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,37,173,2085,62,8,139,2024
85,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,37,173,2086,54,8,140,2024
86,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,37,173,2087,44,8,141,2024
87,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,38,173,2088,59,8,142,2024
88,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,38,173,2089,78,8,143,2024
89,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,38,173,2090,64,8,144,2024
90,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,39,173,2091,221,8,145,2024
91,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,39,173,2092,101,8,146,2024
92,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,40,173,2093,77,8,147,2024
93,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,40,173,2094,74,8,148,2024
94,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,40,173,2095,69,8,149,2024
95,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,40,173,2096,66,8,150,2024
96,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,40,173,2097,44,8,151,2024
97,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,41,173,2098,70,8,152,2024
98,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,41,173,2099,66,8,153,2024
99,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,41,173,2100,58,8,154,2024
100,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,41,173,2101,88,8,155,2024
101,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,42,173,2102,35,8,156,2024
102,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,42,173,2103,59,8,157,2024
103,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,42,173,2104,37,8,158,2024
104,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,42,173,2105,97,8,159,2024
105,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,43,173,2106,42,8,160,2024
106,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,43,173,2107,47,8,161,2024
107,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,43,173,2108,82,8,162,2024
108,2,Eixample,0.0706241,l'Antiga Esquerra de l'Eixample,43,173,2109,81,8,163,2024
109,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,44,173,2110,85,9,164,2024
110,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,44,173,2111,78,9,165,2024
111,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,44,173,2112,40,9,166,2024
112,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,44,173,2113,95,9,167,2024
113,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,44,173,2114,61,9,168,2024
114,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,45,173,2115,47,9,169,2024
115,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,45,173,2116,27,9,170,2024
116,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,45,173,2117,44,9,171,2024
117,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,45,173,2118,37,9,172,2024
118,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,45,173,2119,40,9,173,2024
119,2,Eixample,0.0706241,la Nova Esquerra de l'Eixample,45,173,2120,62,9,174,2024
